index,CHECK,reference,title,year,citation,study_type,common_name,order,family,genus,species,subspecies,lifestage,count_target_average,count_target_min,count_target_max,count_flock_average,count_flock_min,count_flock_max,latitude_avg,longitude_avg,location_1,latitude_1,longitude_1,location_2,latitude_2,longitude_2,location_3,latitude_3,longitude_3,location_4,latitude_4,longitude_4,location_5,latitude_5,longitude_5,date_1,date_2,date_3,date_4,date_5,date_6,temperature_min_study,temperature_max_study,temperature_binary_study,wind_speed_min_study,wind_speed_max_study,wind_speed_binary_study,wind_direction_d,relative_wind_direction_ms,wind_direction_binary,drone,drone_type,drone_shape,drone_size_mm,drone_noise_db,db_distance_m,drone_noise_dba,dba_distance_m,drone_colour,approach_type,altitude_max,altitude_min,distance_max,distance_min,min_approach_speed_m_s,max_approach_speed_m_s,approach_speed_b,approaches_study,approaches_species_drone_lifestage_approachtype,approach_description,response_measure_1,response_measure_2,response_measure_description,result_description,minimum_successful_approach_m,maximum_unsuccessful_approach_m,html
1,YES,"Zbyryt, A., et al. (2021). ""Behavioural responses of adult and young White Storks Ciconia ciconia in nests to an unmanned aerial vehicle."" Acta Ornithologica 55(2): 243-251.",Behavioural responses of adult and young White Storks Ciconia ciconia in nests to an unmanned aerial vehicle.,2021,"Zbyryt, A., et al. (2021)",disturbance,white stork,Ciconiiformes,Ciconiidae,Ciconia,ciconia,NA,adult breeding,2.4,1,NA,2.4,1,NA,53.905,21.725,warmia refuge,54.31,20.8,biebrza refuge,53.5,22.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/05/2017,01/07/2017,NA,NA,NA,NA,NA,NA,1,NA,5,1,NA,NA,0,dji phantom 4,rotorwing,quadcopter,350,NA,NA,82,NA,white,angle,9,0.29,NA,NA,NA,5,1,177,93,"Launched from 30m, acended to 18m at 1m/s then directly approach birds nesting on 9m high powerpoles at 5m/s. ",flight initiation distance,NA,"used glmm with FID as response and breeding stage, number of fledgelings, temperature, nest location, nest id (re) as predictors.",FID=4.1±4.8m. Breeding stage only significant predictor. Birds with young juveniles had shorter FID. Birds that fled nest at egg stage returned witin 23 seconds.,4.1,NA,"<tr><td>white stork</td><td><em>Ciconia ciconia</em></td><td>adult breeding</td><td>dji phantom 4</td><td>Launched from 30m, acended to 18m at 1m/s then directly approach birds nesting on 9m high powerpoles at 5m/s. </td><td>flight initiation distance</td><td>FID=4.1±4.8m. Breeding stage only significant predictor. Birds with young juveniles had shorter FID. Birds that fled nest at egg stage returned witin 23 seconds.</td><td>Zbyryt, A., et al. (2021) <span class=endnote>Zbyryt, A., et al. (2021). ""Behavioural responses of adult and young White Storks Ciconia ciconia in nests to an unmanned aerial vehicle."" Acta Ornithologica 55(2): 243-251.</span></td></tr>"
2,YES,"Zbyryt, A., et al. (2021). ""Behavioural responses of adult and young White Storks Ciconia ciconia in nests to an unmanned aerial vehicle."" Acta Ornithologica 55(2): 243-251.",Behavioural responses of adult and young White Storks Ciconia ciconia in nests to an unmanned aerial vehicle.,2021,"Zbyryt, A., et al. (2021)",disturbance,white stork,Ciconiiformes,Ciconiidae,Ciconia,ciconia,NA,juvenile,2.4,1,NA,2.4,1,NA,53.905,21.725,warmia refuge,54.31,20.8,biebrza refuge,53.5,22.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/05/2017,01/07/2017,NA,NA,NA,NA,NA,NA,1,NA,5,1,NA,NA,0,dji phantom 4,rotorwing,quadcopter,350,NA,NA,82,NA,white,angle,9,0.29,NA,NA,NA,5,1,177,130,"Launched from 30m, acended to 18m at 1m/s then directly approach birds nesting on 9m high powerpoles at 5m/s. ",proportional behaviour,NA,"Split behaviour as drone approached into 7 categories, then determined the percentage of all approaches where each behaviour was displayed","Akinesis (34%), bill clattering and wing pumping (42%, mainly in older juveniles)",NA,NA,"<tr><td>white stork</td><td><em>Ciconia ciconia</em></td><td>juvenile</td><td>dji phantom 4</td><td>Launched from 30m, acended to 18m at 1m/s then directly approach birds nesting on 9m high powerpoles at 5m/s. </td><td>proportional behaviour</td><td>Akinesis (34%), bill clattering and wing pumping (42%, mainly in older juveniles)</td><td>Zbyryt, A., et al. (2021) <span class=endnote>Zbyryt, A., et al. (2021). ""Behavioural responses of adult and young White Storks Ciconia ciconia in nests to an unmanned aerial vehicle."" Acta Ornithologica 55(2): 243-251.</span></td></tr>"
3,YES,"Wen, D., et al. (2021). ""Surveys of Large Waterfowl and Their Habitats Using an Unmanned Aerial Vehicle: A Case Study on the Siberian Crane."" Drones 5(4): 102.",Surveys of Large Waterfowl and Their Habitats Using an Unmanned Aerial Vehicle: A Case Study on the Siberian Crane.,2021,"Wen, D., et al. (2021)",survey,siberian crane,Gruiformes,Gruidae,Leucogeranus,leucogeranus,NA,adult nonbreeding,85,85,85,85,85,85,45.850851,123.542185,momoge wetlands site 11,45.850851,123.542185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/10/2018,15/10/2018,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,dji phantom 4 advanced,rotorwing,quadcopter,350,NA,NA,NA,NA,white,horizontal,100,100,NA,NA,NA,NA,0,11,1,Overflew birds at 100m,observation,NA,observed bird reactions throughout approach,No disturbance reactions observed,100,NA,"<tr><td>siberian crane</td><td><em>Leucogeranus leucogeranus</em></td><td>adult nonbreeding</td><td>dji phantom 4 advanced</td><td>Overflew birds at 100m</td><td>observation</td><td>No disturbance reactions observed</td><td>Wen, D., et al. (2021) <span class=endnote>Wen, D., et al. (2021). ""Surveys of Large Waterfowl and Their Habitats Using an Unmanned Aerial Vehicle: A Case Study on the Siberian Crane."" Drones 5(4): 102.</span></td></tr>"
4,YES,"Wen, D., et al. (2021). ""Surveys of Large Waterfowl and Their Habitats Using an Unmanned Aerial Vehicle: A Case Study on the Siberian Crane."" Drones 5(4): 102.",Surveys of Large Waterfowl and Their Habitats Using an Unmanned Aerial Vehicle: A Case Study on the Siberian Crane.,2021,"Wen, D., et al. (2021)",survey,siberian crane,Gruiformes,Gruidae,Leucogeranus,leucogeranus,NA,juvenile,85,85,85,85,85,85,45.850851,123.542185,momoge wetlands site 11,45.850851,123.542185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/10/2018,15/10/2018,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,dji phantom 4 advanced,rotorwing,quadcopter,350,NA,NA,NA,NA,white,horizontal,100,100,NA,NA,NA,NA,0,11,1,Overflew birds at 100m,observation,NA,observed bird reactions throughout approach,No disturbance reactions observed,100,NA,"<tr><td>siberian crane</td><td><em>Leucogeranus leucogeranus</em></td><td>juvenile</td><td>dji phantom 4 advanced</td><td>Overflew birds at 100m</td><td>observation</td><td>No disturbance reactions observed</td><td>Wen, D., et al. (2021) <span class=endnote>Wen, D., et al. (2021). ""Surveys of Large Waterfowl and Their Habitats Using an Unmanned Aerial Vehicle: A Case Study on the Siberian Crane."" Drones 5(4): 102.</span></td></tr>"
5,YES,"Wen, D., et al. (2021). ""Surveys of Large Waterfowl and Their Habitats Using an Unmanned Aerial Vehicle: A Case Study on the Siberian Crane."" Drones 5(4): 102.",Surveys of Large Waterfowl and Their Habitats Using an Unmanned Aerial Vehicle: A Case Study on the Siberian Crane.,2021,"Wen, D., et al. (2021)",survey,siberian crane,Gruiformes,Gruidae,Leucogeranus,leucogeranus,NA,adult nonbreeding,58.8,3,276,58.8,3,276,45.9343978,123.5778724,momoge wetlands site 1,46.026291,123.515773,momoge wetlands site 2,46.01839,123.603231,momoge wetlands site 5,45.883757,123.527954,momoge wetlands site 8,45.870514,123.61408,momoge wetlands site 9,45.873037,123.628324,14/10/2018,17/10/2018,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,dji phantom 4 advanced,rotorwing,quadcopter,350,NA,NA,NA,NA,white,vertical,100,50,NA,NA,NA,NA,0,11,10,Approached birds vertically from 100m modifying altitude to avoid disturbance.,observation,NA,observed bird reactions throughout approach,No disturbance reactions observed,NA,NA,"<tr><td>siberian crane</td><td><em>Leucogeranus leucogeranus</em></td><td>adult nonbreeding</td><td>dji phantom 4 advanced</td><td>Approached birds vertically from 100m modifying altitude to avoid disturbance.</td><td>observation</td><td>No disturbance reactions observed</td><td>Wen, D., et al. (2021) <span class=endnote>Wen, D., et al. (2021). ""Surveys of Large Waterfowl and Their Habitats Using an Unmanned Aerial Vehicle: A Case Study on the Siberian Crane."" Drones 5(4): 102.</span></td></tr>"
6,YES,"Wen, D., et al. (2021). ""Surveys of Large Waterfowl and Their Habitats Using an Unmanned Aerial Vehicle: A Case Study on the Siberian Crane."" Drones 5(4): 102.",Surveys of Large Waterfowl and Their Habitats Using an Unmanned Aerial Vehicle: A Case Study on the Siberian Crane.,2021,"Wen, D., et al. (2021)",survey,siberian crane,Gruiformes,Gruidae,Leucogeranus,leucogeranus,NA,juvenile,58.8,3,276,58.8,3,276,45.9343978,123.5778724,momoge wetlands site 1,46.026291,123.515773,momoge wetlands site 2,46.01839,123.603231,momoge wetlands site 5,45.883757,123.527954,momoge wetlands site 8,45.870514,123.61408,momoge wetlands site 9,45.873037,123.628324,14/10/2018,17/10/2018,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,dji phantom 4 advanced,rotorwing,quadcopter,350,NA,NA,NA,NA,white,vertical,100,50,NA,NA,NA,NA,0,11,10,Approached birds vertically from 100m modifying altitude to avoid disturbance.,observation,NA,observed bird reactions throughout approach,No disturbance reactions observed,NA,NA,"<tr><td>siberian crane</td><td><em>Leucogeranus leucogeranus</em></td><td>juvenile</td><td>dji phantom 4 advanced</td><td>Approached birds vertically from 100m modifying altitude to avoid disturbance.</td><td>observation</td><td>No disturbance reactions observed</td><td>Wen, D., et al. (2021) <span class=endnote>Wen, D., et al. (2021). ""Surveys of Large Waterfowl and Their Habitats Using an Unmanned Aerial Vehicle: A Case Study on the Siberian Crane."" Drones 5(4): 102.</span></td></tr>"
7,YES,"Valle, R. G. and F. Scarton (2021). ""Drone-conducted counts as a tool for the rapid assessment of productivity of Sandwich Terns (Thalasseus sandvicensis)."" Journal of Ornithology 162(2): 621-628.",Drone-conducted counts as a tool for the rapid assessment of productivity of Sandwich Terns (Thalasseus sandvicensis).,2021,"Valle, R. G. and F. Scarton (2021)",survey,sandwich tern,Charadriiformes,Laridae,Thalasseus,sandvicensis,NA,juvenile,968.5,738.5,1198.5,968.5,738.5,1198.5,45.466667,12.583333,lagoon of venice,45.466667,12.583333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/05/2018,14/05/2018,21/05/2018,07/06/2018,14/06/2018,21/06/2018,NA,NA,0,NA,NA,0,NA,NA,0,dji mavic pro,rotorwing,quadcopter,335,NA,NA,70,NA,grey,vertical,70,15,NA,NA,NA,NA,0,24,12,approached vertically from 70m to 15m.,flee time,flee distance,"measured the time the birds spent away from the nesting site, and the distance the birds fled from the site ","Minor reactions lasting a few seconds, then no response.",15,NA,"<tr><td>sandwich tern</td><td><em>Thalasseus sandvicensis</em></td><td>juvenile</td><td>dji mavic pro</td><td>approached vertically from 70m to 15m.</td><td>flee time</td><td>Minor reactions lasting a few seconds, then no response.</td><td>Valle, R. G. and F. Scarton (2021) <span class=endnote>Valle, R. G. and F. Scarton (2021). ""Drone-conducted counts as a tool for the rapid assessment of productivity of Sandwich Terns (Thalasseus sandvicensis)."" Journal of Ornithology 162(2): 621-628.</span></td></tr>"
8,YES,"Valle, R. G. and F. Scarton (2021). ""Drone-conducted counts as a tool for the rapid assessment of productivity of Sandwich Terns (Thalasseus sandvicensis)."" Journal of Ornithology 162(2): 621-628.",Drone-conducted counts as a tool for the rapid assessment of productivity of Sandwich Terns (Thalasseus sandvicensis).,2021,"Valle, R. G. and F. Scarton (2021)",survey,sandwich tern,Charadriiformes,Laridae,Thalasseus,sandvicensis,NA,adult breeding,968.5,738.5,1198.5,968.5,738.5,1198.5,45.466667,12.583333,lagoon of venice,45.466667,12.583333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/05/2018,14/05/2018,21/05/2018,07/06/2018,14/06/2018,21/06/2018,NA,NA,0,NA,NA,0,NA,NA,0,dji mavic pro,rotorwing,quadcopter,335,NA,NA,70,NA,grey,vertical,70,15,NA,NA,NA,NA,0,24,12,approached vertically from 70m to 15m.,flee time,flee distance,"measured the time the birds spent away from the nesting site, and the distance the birds fled from the site ","Minor reactions lasting a few seconds, then no response.",15,NA,"<tr><td>sandwich tern</td><td><em>Thalasseus sandvicensis</em></td><td>adult breeding</td><td>dji mavic pro</td><td>approached vertically from 70m to 15m.</td><td>flee time</td><td>Minor reactions lasting a few seconds, then no response.</td><td>Valle, R. G. and F. Scarton (2021) <span class=endnote>Valle, R. G. and F. Scarton (2021). ""Drone-conducted counts as a tool for the rapid assessment of productivity of Sandwich Terns (Thalasseus sandvicensis)."" Journal of Ornithology 162(2): 621-628.</span></td></tr>"
9,YES,"Valle, R. G. and F. Scarton (2021). ""Drone-conducted counts as a tool for the rapid assessment of productivity of Sandwich Terns (Thalasseus sandvicensis)."" Journal of Ornithology 162(2): 621-628.",Drone-conducted counts as a tool for the rapid assessment of productivity of Sandwich Terns (Thalasseus sandvicensis).,2021,"Valle, R. G. and F. Scarton (2021)",survey,sandwich tern,Charadriiformes,Laridae,Thalasseus,sandvicensis,NA,juvenile,968.5,738.5,1198.5,968.5,738.5,1198.5,45.466667,12.583333,lagoon of venice,45.466667,12.583333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/05/2018,14/05/2018,21/05/2018,07/06/2018,14/06/2018,21/06/2018,NA,NA,0,NA,NA,0,NA,NA,0,dji mavic pro,rotorwing,quadcopter,335,NA,NA,70,NA,grey,horizontal,2,2,NA,NA,NA,NA,0,24,12,Overflight at 2m,flee time,flee distance,"measured the time the birds spent away from the nesting site, and the distance the birds fled from the site ","Minor reactions lasting a few seconds, then no response.",2,NA,"<tr><td>sandwich tern</td><td><em>Thalasseus sandvicensis</em></td><td>juvenile</td><td>dji mavic pro</td><td>Overflight at 2m</td><td>flee time</td><td>Minor reactions lasting a few seconds, then no response.</td><td>Valle, R. G. and F. Scarton (2021) <span class=endnote>Valle, R. G. and F. Scarton (2021). ""Drone-conducted counts as a tool for the rapid assessment of productivity of Sandwich Terns (Thalasseus sandvicensis)."" Journal of Ornithology 162(2): 621-628.</span></td></tr>"
10,YES,"Valle, R. G. and F. Scarton (2021). ""Drone-conducted counts as a tool for the rapid assessment of productivity of Sandwich Terns (Thalasseus sandvicensis)."" Journal of Ornithology 162(2): 621-628.",Drone-conducted counts as a tool for the rapid assessment of productivity of Sandwich Terns (Thalasseus sandvicensis).,2021,"Valle, R. G. and F. Scarton (2021)",survey,sandwich tern,Charadriiformes,Laridae,Thalasseus,sandvicensis,NA,adult breeding,968.5,738.5,1198.5,968.5,738.5,1198.5,45.466667,12.583333,lagoon of venice,45.466667,12.583333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/05/2018,14/05/2018,21/05/2018,07/06/2018,14/06/2018,21/06/2018,NA,NA,0,NA,NA,0,NA,NA,0,dji mavic pro,rotorwing,quadcopter,335,NA,NA,70,NA,grey,horizontal,2,2,NA,NA,NA,NA,0,24,12,Overflight at 2m,flee time,flee distance,"measured the time the birds spent away from the nesting site, and the distance the birds fled from the site ","Minor reactions lasting a few seconds, then no response.",2,NA,"<tr><td>sandwich tern</td><td><em>Thalasseus sandvicensis</em></td><td>adult breeding</td><td>dji mavic pro</td><td>Overflight at 2m</td><td>flee time</td><td>Minor reactions lasting a few seconds, then no response.</td><td>Valle, R. G. and F. Scarton (2021) <span class=endnote>Valle, R. G. and F. Scarton (2021). ""Drone-conducted counts as a tool for the rapid assessment of productivity of Sandwich Terns (Thalasseus sandvicensis)."" Journal of Ornithology 162(2): 621-628.</span></td></tr>"
